----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
21-03 14:03:20| 98   2   0   0   0|2650M  126M 2180k 5026M|  36M  224k
21-03 14:03:21| 97   1   1   1   0|2649M  125M 2172k 5029M|  35M  104k
21-03 14:03:22| 97   2   0   0   0|2649M  135M 2160k 5018M|  37M  104k
21-03 14:03:23| 99   2   0   0   0|2651M  135M 2152k 5016M|  32M  148k
21-03 14:03:24| 98   1   0   0   0|2650M  134M 2144k 5018M|  37M   72k
21-03 14:03:25| 99   1   1   0   0|2643M  122M 2140k 5036M|  37M   35k
21-03 14:03:26| 98   2   1   0   0|2644M  133M 2128k 5025M|  37M   36k
21-03 14:03:27| 97   1   0   0   0|2643M  131M 2120k 5028M|  37M    0 
21-03 14:03:28| 98   1   1   1   0|2643M  125M 2112k 5033M|  37M    0 
21-03 14:03:29| 98   1   0   0   0|2644M  126M 2104k 5032M|  37M   81k
21-03 14:03:30| 98   1   0   0   0|2643M  124M 2096k 5035M|  37M   20k
21-03 14:03:31| 81   2   1  16   0|2645M  136M 2088k 5021M|  24M   16k
21-03 14:03:32| 83   1   1  16   0|2643M  126M 2084k 5034M|  28M    0 
21-03 14:03:33| 89   1   0   9   0|2640M  134M 2072k 5028M|  42M   36k
21-03 14:03:34| 95   1   1   2   0|2637M  135M 2064k 5030M|  40M   12k
21-03 14:03:35| 97   1   0   2   0|2637M  129M 2056k 5036M|  41M   44k
21-03 14:03:36| 96   1   0   1   0|2639M  122M 2048k 5041M|  37M    0 
21-03 14:03:37| 98   2   1   0   0|2639M  132M 2036k 5031M|  36M 4096B
21-03 14:03:38| 97   1   0   1   0|2639M  130M 2028k 5033M|  37M   40k
21-03 14:03:39| 99   2   0   0   0|2643M  124M 2020k 5036M|  37M   16k
21-03 14:03:40| 98   1   0   0   0|2644M  133M 2008k 5025M|  37M    0 
21-03 14:03:41| 98   1   0   0   0|2643M  132M 2000k 5027M|  37M 4096B
21-03 14:03:42| 97   2   0   1   0|2643M  126M 1992k 5033M|  37M   12k
21-03 14:03:43| 98   2   0   0   0|2643M  127M 1984k 5032M|  37M   12k
21-03 14:03:44| 98   1   1   0   0|2643M  125M 1976k 5034M|  36M   40k
21-03 14:03:45| 98   1   1   0   0|2644M  122M 1968k 5036M|  37M   28k
21-03 14:03:46| 98   2   1   0   0|2644M  135M 1956k 5023M|  37M   16k
21-03 14:03:47| 98   1   0   1   0|2643M  134M 1948k 5025M|  37M   13k
21-03 14:03:48| 97   1   0   0   0|2641M  121M 1944k 5040M|  36M   16k
21-03 14:03:49| 98   1   1   0   0|2639M  135M 1932k 5029M|  36M    0 
21-03 14:03:50| 97   1   0   0   0|2637M  134M 1924k 5031M|  36M    0 
21-03 14:03:51| 98   1   1   1   0|2637M  129M 1916k 5035M|  36M 4096B
21-03 14:03:52| 98   2   0   0   0|2641M  127M 1908k 5034M|  36M   32k
