----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
03-03 16:42:45| 28   0  10  60   0|2035M  129M 4252k 5639M|  22M   32k
03-03 16:42:46| 27   1  21  52   0|2036M  122M 4252k 5645M|  22M    0 
03-03 16:42:47| 26   1   9  63   0|2037M  142M 4252k 5624M|  22M   20k
03-03 16:42:48| 28   1  33  38   0|2040M  148M 4252k 5615M|  23M   44k
03-03 16:42:49| 25   0  38  35   0|2039M  127M 4252k 5637M|  22M 4096B
03-03 16:42:50| 30   1  22  47   0|2038M  124M 4252k 5641M|  23M 8193B
03-03 16:42:51| 31   0  18  49   0|2039M  139M 4252k 5624M|  22M    0 
03-03 16:42:52| 25   1  25  47   0|2039M  136M 4252k 5627M|  22M   84k
03-03 16:42:53| 30   0  11  58   0|2045M  127M 4252k 5630M|  22M   20k
03-03 16:42:54| 27   1   1  71   0|2045M  124M 4252k 5634M|  23M   12k
03-03 16:42:55| 28   1  18  53   0|2047M  139M 4252k 5617M|  22M   20k
03-03 16:42:56| 30   1   6  64   0|2045M  137M 4252k 5621M|  23M   12k
03-03 16:42:57| 27   1  14  59   0|2043M  137M 4252k 5622M|  21M   24k
03-03 16:42:58| 25   1  12  61   0|2042M  135M 4252k 5625M|  22M    0 
03-03 16:42:59| 39   1  12  49   0|2042M  133M 4252k 5627M|  22M   12k
03-03 16:43:00| 66   1   5  27   0|2043M  137M 4252k 5623M|  35M   28k
03-03 16:43:01| 43   1  12  44   0|2047M  122M 4252k 5634M|  28M   24k
