----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
22-03 10:59:07| 32   0  22  46   0|3030M  122M 3128k 4646M|  21M   96k
22-03 10:59:08| 35   1   5  59   0|3028M  130M 3128k 4640M|  23M   28k
22-03 10:59:09| 35   1   2  62   0|3029M  126M 3128k 4644M|  23M  396k
22-03 10:59:10| 32   1  23  43   0|3027M  122M 3128k 4649M|  22M  108k
22-03 10:59:11| 39   1  12  47   0|3027M  127M 3128k 4644M|  25M   40k
22-03 10:59:12| 50   1   8  42   0|3027M  136M 3128k 4636M|  27M  112k
22-03 10:59:13| 34   1  12  52   0|3023M  129M 3128k 4646M|  25M   72k
22-03 10:59:14| 30   0   5  64   0|3021M  125M 3128k 4653M|  22M   80k
22-03 10:59:15| 31   1  19  50   0|3020M  133M 3128k 4645M|  22M   16k
22-03 10:59:16| 35   1   5  57   0|3018M  126M 3128k 4654M|  23M   92k
22-03 10:59:17| 33   1  10  56   0|3019M  132M 3112k 4647M|  23M   60k
22-03 10:59:18| 30   1  20  50   0|3016M  127M 3100k 4655M|  23M   64k
22-03 10:59:19| 28   1  25  47   0|3018M  136M 3076k 4645M|  22M   24k
22-03 10:59:20| 33   1  20  46   0|3013M  134M 3064k 4651M|  22M   76k
22-03 10:59:21| 42   1  15  42   0|3011M  124M 3052k 4663M|  26M   36k
22-03 10:59:22| 91   2   1   7   0|3011M  125M 3020k 4662M|  43M  136k
22-03 10:59:23| 96   2   1   2   0|3008M  135M 2972k 4655M|  46M  128k
22-03 10:59:24| 98   1   1   0   0|3005M  130M 2948k 4663M|  41M  120k
22-03 10:59:25| 97   1   1   0   0|3006M  129M 2920k 4663M|  37M   84k
22-03 10:59:26| 98   1   0   1   0|3005M  122M 2896k 4671M|  38M   56k
22-03 10:59:27| 96   2   0   1   0|3005M  129M 2852k 4664M|  38M  128k
22-03 10:59:28| 78   1   2  20   0|3002M  125M 2828k 4671M|  39M  128k
