----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
13-05 23:44:22| 98   0   1   0   0|2117M 1766M 4388k 3853M|  13M    0 
13-05 23:44:23| 99   0   0   0   0|2117M 1763M 4388k 3856M|  13M    0 
13-05 23:44:24| 99   1   1   0   0|2115M 1755M 4388k 3866M|  13M    0 
13-05 23:44:25| 99   1   1   0   0|2115M 1739M 4388k 3882M|  16M    0 
13-05 23:44:26| 98   1   1   0   0|2116M 1722M 4388k 3897M|  16M    0 
13-05 23:44:27| 97   1   1   0   0|2116M 1709M 4388k 3911M|  13M    0 
13-05 23:44:28| 98   1   1   0   0|2117M 1695M 4388k 3924M|  13M    0 
13-05 23:44:29| 99   1   1   0   0|2116M 1682M 4388k 3937M|  13M 4096B
13-05 23:44:30| 98   0   1   0   0|2116M 1668M 4388k 3951M|  14M 7169B
13-05 23:44:31| 99   0   1   0   0|2116M 1652M 4388k 3968M|  16M    0 
13-05 23:44:32| 95   0   1   3   0|2116M 1635M 4388k 3985M|  16M  407k
13-05 23:44:33| 72   1   1  26   0|2117M 1624M 4388k 3994M|  11M    0 
13-05 23:44:34| 98   0   1   0   0|2117M 1609M 4388k 4009M|  15M    0 
13-05 23:44:35| 99   1   1   0   0|2117M 1595M 4388k 4023M|  13M   36k
13-05 23:44:36| 99   1   1   0   0|2117M 1582M 4388k 4037M|  14M    0 
13-05 23:44:37| 98   1   1   0   0|2118M 1568M 4388k 4049M|  13M    0 
13-05 23:44:38|100   1   0   0   0|2120M 1553M 4388k 4063M|  13M    0 
13-05 23:44:39| 97   1   1   0   0|2119M 1537M 4388k 4080M|  16M  143k
13-05 23:44:40| 99   1   0   0   0|2119M 1520M 4388k 4096M|  16M 1684k
13-05 23:44:41| 99   0   1   0   0|2119M 1506M 4388k 4111M|  14M    0 
13-05 23:44:42| 99   0   1   0   0|2119M 1492M 4388k 4124M|  13M    0 
13-05 23:44:43| 98   0   1   0   0|2119M 1479M 4388k 4137M|  13M    0 
13-05 23:44:44|100   1   1   0   0|2118M 1466M 4388k 4151M|  13M    0 
13-05 23:44:45| 99   0   1   0   0|2119M 1453M 4388k 4164M|  14M    0 
13-05 23:44:46| 98   1   1   0   0|2118M 1439M 4388k 4178M|  13M    0 
13-05 23:44:47|100   0   1   0   0|2118M 1426M 4388k 4191M|  13M    0 
13-05 23:44:48| 99   0   0   0   0|2118M 1412M 4388k 4204M|  13M    0 
13-05 23:44:49| 99   1   1   0   0|2118M 1397M 4388k 4220M|  16M    0 
13-05 23:44:50| 98   1   1   0   0|2118M 1380M 4388k 4236M|  17M    0 
13-05 23:44:51| 99   1   0   0   0|2118M 1364M 4388k 4252M|  15M    0 
13-05 23:44:52| 99   1   1   0   0|2118M 1351M 4388k 4266M|  14M    0 
13-05 23:44:53| 99   1   1   0   0|2118M 1338M 4388k 4279M|  14M    0 
13-05 23:44:54| 99   0   0   0   0|2118M 1324M 4388k 4293M|  13M    0 
13-05 23:44:55| 99   1   1   0   0|2118M 1311M 4388k 4306M|  13M 8192B
13-05 23:44:56| 98   1   1   0   0|2119M 1297M 4388k 4319M|  14M 4096B
13-05 23:44:57| 99   0   1   0   0|2118M 1282M 4388k 4335M|  15M    0 
13-05 23:44:58| 99   1   1   0   0|2119M 1265M 4388k 4351M|  16M    0 
13-05 23:44:59| 98   0   1   0   0|2118M 1249M 4388k 4367M|  16M    0 
13-05 23:45:00| 98   0   0   0   0|2118M 1235M 4388k 4381M|  14M   82k
13-05 23:45:01| 99   0   1   0   0|2119M 1222M 4388k 4394M|  13M 9216B
13-05 23:45:02| 98   1   0   0   0|2119M 1208M 4388k 4408M|  14M    0 
13-05 23:45:03| 95   2   3   0   0|2119M 1195M 4388k 4420M|  12M 1724k
13-05 23:45:04| 99   0   0   0   0|2120M 1182M 4388k 4433M|  13M    0 
13-05 23:45:05| 98   0   1   0   0|2120M 1171M 4388k 4444M|  13M    0 
13-05 23:45:06|100   1   1   0   0|2119M 1156M 4388k 4459M|  15M    0 
13-05 23:45:07| 98   0   1   0   0|2119M 1140M 4388k 4476M|  17M    0 
13-05 23:45:08| 99   0   0   0   0|2119M 1123M 4388k 4492M|  16M    0 
13-05 23:45:09| 99   1   1   0   0|2120M 1109M 4388k 4506M|  14M    0 
13-05 23:45:10| 99   0   0   0   0|2119M 1096M 4388k 4520M|  14M    0 
13-05 23:45:11| 98   0   1   0   0|2119M 1082M 4388k 4533M|  13M   76k
13-05 23:45:12| 98   0   1   0   0|2120M 1069M 4388k 4546M|  13M    0 
13-05 23:45:13| 99   1   0   0   0|2119M 1056M 4388k 4560M|  13M    0 
13-05 23:45:14| 99   1   1   0   0|2120M 1042M 4388k 4573M|  14M    0 
13-05 23:45:15| 99   0   1   0   0|2120M 1028M 4388k 4587M|  14M    0 
13-05 23:45:16| 99   1   1   0   0|2120M 1011M 4388k 4604M|  17M    0 
13-05 23:45:17| 99   1   1   0   0|2120M  994M 4388k 4620M|  17M    0 
13-05 23:45:18| 98   0   0   0   0|2120M  980M 4388k 4634M|  14M    0 
13-05 23:45:19| 98   0   1   0   0|2120M  967M 4388k 4648M|  13M    0 
13-05 23:45:20| 99   1   0   0   0|2120M  953M 4388k 4661M|  14M    0 
13-05 23:45:21| 99   0   1   0   0|2119M  940M 4388k 4675M|  13M    0 
13-05 23:45:22| 98   1   1   0   0|2120M  926M 4388k 4689M|  14M    0 
13-05 23:45:23| 99   0   1   0   0|2120M  909M 4388k 4705M|  16M    0 
13-05 23:45:24| 99   1   1   0   0|2119M  893M 4388k 4722M|  17M    0 
13-05 23:45:25| 97   0   1   1   0|2120M  879M 4388k 4735M|  14M    0 
13-05 23:45:26|100   0   1   0   0|2119M  866M 4388k 4749M|  13M 1024B
13-05 23:45:27| 98   1   1   0   0|2119M  855M 4388k 4760M|  13M    0 
13-05 23:45:28| 98   1   1   0   0|2119M  842M 4388k 4774M|  13M    0 
13-05 23:45:29| 99   1   1   0   0|2118M  828M 4388k 4787M|  14M    0 
13-05 23:45:30| 99   0   1   0   0|2119M  815M 4388k 4800M|  13M   17k
13-05 23:45:31| 98   1   0   0   0|2118M  802M 4388k 4814M|  13M   37k
13-05 23:45:32| 99   0   1   0   0|2118M  788M 4388k 4828M|  14M    0 
13-05 23:45:33| 98   0   1   0   0|2119M  774M 4388k 4841M|  13M  245k
13-05 23:45:34| 99   1   1   0   0|2119M  759M 4388k 4857M|  16M    0 
13-05 23:45:35| 99   1   0   0   0|2118M  742M 4388k 4874M|  17M    0 
13-05 23:45:36| 98   0   1   0   0|2119M  727M 4388k 4888M|  15M    0 
13-05 23:45:37| 99   0   0   0   0|2118M  713M 4388k 4902M|  13M    0 
13-05 23:45:38| 99   1   1   0   0|2119M  699M 4388k 4915M|  14M    0 
13-05 23:45:39| 97   2   1   0   0|2120M  687M 4388k 4927M|  11M    0 
13-05 23:45:40| 99   1   1   0   0|2120M  673M 4388k 4941M|  14M    0 
13-05 23:45:41| 98   0   1   0   0|2120M  660M 4388k 4954M|  13M   64k
13-05 23:45:42|100   1   1   0   0|2119M  647M 4388k 4968M|  14M 8192B
13-05 23:45:43| 98   1   1   0   0|2119M  633M 4388k 4981M|  13M    0 
13-05 23:45:44| 99   1   1   0   0|2120M  620M 4388k 4994M|  14M    0 
13-05 23:45:45| 99   1   1   0   0|2119M  606M 4388k 5009M|  14M    0 
13-05 23:45:46| 98   0   1   0   0|2120M  589M 4388k 5026M|  17M    0 
13-05 23:45:47|100   0   1   0   0|2120M  572M 4388k 5042M|  17M    0 
13-05 23:45:48| 98   0   1   0   0|2119M  559M 4388k 5056M|  14M    0 
13-05 23:45:49| 98   0   0   0   0|2119M  545M 4388k 5069M|  14M    0 
13-05 23:45:50| 99   1   1   0   0|2119M  532M 4388k 5083M|  13M    0 
13-05 23:45:51| 99   0   1   0   0|2119M  518M 4388k 5096M|  14M    0 
13-05 23:45:52| 99   0   0   0   0|2119M  505M 4388k 5110M|  13M    0 
13-05 23:45:53| 98   0   1   0   0|2119M  491M 4388k 5123M|  13M    0 
13-05 23:45:54| 99   0   1   0   0|2119M  478M 4388k 5137M|  14M    0 
13-05 23:45:55| 99   1   1   0   0|2119M  465M 4388k 5150M|  13M    0 
13-05 23:45:56| 98   1   1   0   0|2119M  448M 4388k 5166M|  16M    0 
13-05 23:45:57| 99   0   0   0   0|2119M  431M 4388k 5183M|  17M    0 
13-05 23:45:58| 99   0   1   0   0|2119M  416M 4388k 5198M|  15M    0 
13-05 23:45:59| 98   1   1   0   0|2119M  403M 4388k 5211M|  14M    0 
13-05 23:46:00| 98   2   1   0   0|2120M  389M 4388k 5224M|  13M 8192B
13-05 23:46:01| 98   1   1   0   0|2119M  376M 4388k 5238M|  14M    0 
13-05 23:46:02| 99   1   1   0   0|2120M  363M 4388k 5251M|  14M    0 
13-05 23:46:03| 99   0   1   0   0|2119M  349M 4388k 5264M|  13M   57k
13-05 23:46:04| 99   1   1   0   0|2119M  336M 4388k 5278M|  14M    0 
13-05 23:46:05|100   0   0   0   0|2120M  322M 4388k 5291M|  14M    0 
13-05 23:46:06| 99   1   1   0   0|2119M  309M 4388k 5305M|  13M    0 
13-05 23:46:07| 99   0   0   0   0|2120M  295M 4388k 5318M|  13M    0 
13-05 23:46:08| 99   1   1   0   0|2119M  282M 4388k 5332M|  14M    0 
13-05 23:46:09| 98   1   1   0   0|2120M  270M 4388k 5343M|  13M    0 
13-05 23:46:10| 97   1   1   0   0|2120M  257M 4388k 5356M|  14M    0 
13-05 23:46:11| 98   1   1   0   0|2120M  240M 4388k 5373M|  17M    0 
13-05 23:46:12| 99   0   1   0   0|2120M  223M 4388k 5390M|  17M 1448k
