"x"
"1" "house: 0"
"Point.Forecast" "Lo.90" "Hi.90" "Lo.95" "Hi.95"
"22.20833" 427.957372811696 -418.942844334374 1274.85758995777 -581.186478597047 1437.10122422044
"22.25000" 791.959850411575 -54.9403667344944 1638.86006755764 -217.184000997168 1801.10370182032
"22.29167" 665.037354854231 -181.862862291838 1511.9375720003 -344.106496554511 1674.18120626297
"22.33333" 1671.40177830701 824.501561160945 2518.30199545308 662.257926898271 2680.54562971576
"22.37500" 1595.36102998016 748.460812834092 2442.26124712623 586.217178571418 2604.5048813889
"22.41667" 922.471441899708 75.571224753638 1769.37165904578 -86.6724095090351 1931.61529330845
"22.45833" 1367.26649158007 520.366274434004 2214.16670872614 358.122640171331 2376.41034298882
"22.50000" 1073.60841253398 226.708195387908 1920.50862968005 64.4645611252348 2082.75226394272
"22.54167" 1073.70628858488 226.806071438812 1920.60650573095 64.5624371761388 2082.85013999362
"22.58333" 1486.04596594438 639.145748798314 2332.94618309045 476.902114535641 2495.18981735313
"22.62500" 1454.5585585518 607.658341405733 2301.45877569787 445.41470714306 2463.70240996055
"22.66667" 1849.86194485426 1002.96172770819 2696.76216200033 840.718093445514 2859.005796263
"22.70833" 1524.97583049696 678.075613350891 2371.87604764303 515.831979088218 2534.1196819057
"22.75000" 1138.63511004752 291.73489290145 1985.53532719359 129.491258638777 2147.77896145626
"22.79167" 1091.88217862148 244.98196147541 1938.78239576755 82.7383272127364 2101.02603003022
"22.83333" 1650.90837074485 804.00815359878 2497.80858789092 641.764519336107 2660.05222215359
"22.87500" 1755.76562430868 872.937778460534 2638.59347015684 703.811362811042 2807.71988580633
"22.91667" 1667.91416049216 765.949238449114 2569.87908253521 593.156666234584 2742.67165474974
"22.95833" 1072.07490475208 163.522014943292 1980.62779456087 -10.5326372791048 2154.68244678326
"23.00000" 1146.20068704618 234.220453832007 2058.18092026036 59.5092134558952 2232.89216063647
"23.04167" 662.738081107916 -249.242152106259 1574.71831432209 -423.953392482371 1749.4295546982
"23.08333" 909.75016418136 -2.230069032816 1821.73039739553 -176.941309408927 1996.44163777165
"23.12500" 524.95213416719 -387.028099046985 1436.93236738137 -561.739339423097 1611.64360775748
"23.16667" 719.663325523939 -192.316907690236 1631.64355873811 -367.028148066348 1806.35479911423
"23.20833" 469.333213028191 -442.647020185985 1381.31344624237 -617.358260562096 1556.02468661848
"23.25000" 772.297295547613 -139.682937666563 1684.27752876179 -314.394178042674 1858.9887691379
"23.29167" 596.153312608438 -315.826920605737 1508.13354582261 -490.538160981848 1682.84478619873
"23.33333" 1783.60605787459 871.625824660419 2695.58629108877 696.914584284308 2870.29753146488
"23.37500" 1618.13571879301 706.15548557883 2530.11595200718 531.444245202719 2704.82719238329
"23.41667" 927.477492236776 15.4972590226006 1839.45772545095 -159.213981353511 2014.16896582706
"23.45833" 1351.03641084936 439.056177635186 2263.01664406354 264.344937259074 2437.72788443965
"23.50000" 921.281558601033 9.301325386857 1833.26179181521 -165.409914989254 2007.97303219132
"23.54167" 990.436481471051 78.4562482568759 1902.41671468523 -96.2549921192355 2077.12795506134
"23.58333" 1278.73559286635 366.755359652174 2190.71582608053 192.044119276063 2365.42706645664
"23.62500" 1360.33926084936 448.359027635186 2272.31949406354 273.647787259075 2447.03073443965
"23.66667" 1846.33938543643 934.359152222253 2758.3196186506 759.647911846141 2933.03085902672
