----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
09-06 19:43:36| 34   1  21  44   0|3114M  133M 4324k 4556M|  24M   48k
09-06 19:43:37| 30   1  21  47   0|3112M  142M 4324k 4549M|  22M  108k
09-06 19:43:38| 29   1   6  63   0|3112M  133M 4324k 4558M|  22M   36k
09-06 19:43:39| 29   1  22  47   0|3109M  147M 4324k 4547M|  22M  140k
09-06 19:43:40| 31   1  13  56   0|3107M  126M 4324k 4570M|  23M    0 
09-06 19:43:41| 30   0  16  52   0|3106M  133M 4324k 4563M|  23M   68k
09-06 19:43:42| 31   1  19  50   0|3105M  141M 4324k 4557M|  23M  120k
09-06 19:43:43| 30   1  19  51   0|3105M  148M 4324k 4550M|  22M   76k
09-06 19:43:44| 29   1  14  55   0|3103M  128M 4324k 4573M|  23M    0 
09-06 19:43:45| 32   1  14  53   0|3103M  148M 4324k 4552M|  23M  192k
09-06 19:43:46| 34   1  17  48   0|3102M  127M 4324k 4574M|  22M    0 
09-06 19:43:47| 32   1  23  44   0|3102M  137M 4324k 4564M|  19M   52k
09-06 19:43:48| 31   1  30  37   0|3102M  145M 4324k 4556M|  22M  132k
09-06 19:43:49| 30   1  31  38   0|3102M  124M 4324k 4577M|  21M    0 
09-06 19:43:50| 31   1  20  48   0|3100M  150M 4324k 4553M|  21M  108k
09-06 19:43:51| 28   1  25  46   0|3099M  129M 4324k 4575M|  22M 1024B
09-06 19:43:52| 30   1  26  43   0|3098M  138M 4324k 4567M|  22M  128k
09-06 19:43:53| 28   1  19  51   0|3097M  147M 4324k 4559M|  22M   76k
09-06 19:43:54| 35   1  12  52   0|3096M  126M 4324k 4581M|  22M 2048B
09-06 19:43:55| 28   0  11  60   0|3096M  133M 4324k 4574M|  22M  120k
09-06 19:43:56| 32   2  11  55   0|3096M  143M 4324k 4564M|  19M   85k
09-06 19:43:57| 29   1  21  49   0|3095M  122M 4324k 4586M|  22M    0 
09-06 19:43:58| 29   1  25  45   0|3095M  133M 4324k 4576M|  19M  148k
09-06 19:43:59| 28   1  18  53   0|3094M  141M 4324k 4569M|  22M   64k
09-06 19:44:00| 30   1  28  41   0|3094M  147M 4324k 4562M|  22M  132k
09-06 19:44:01| 27   1  22  50   0|3094M  126M 4324k 4583M|  22M    0 
09-06 19:44:02| 29   1  28  42   0|3093M  134M 4324k 4577M|  22M  164k
09-06 19:44:03| 29   1  17  53   0|3092M  127M 4324k 4584M|  22M   36k
09-06 19:44:04| 29   1  11  58   0|3091M  150M 4324k 4562M|  22M  224k
09-06 19:44:05| 31   1  22  47   0|3091M  128M 4324k 4584M|  22M    0 
09-06 19:44:06| 33   1  12  53   0|3091M  136M 4324k 4577M|  22M   64k
09-06 19:44:07| 30   1  20  49   0|3090M  144M 4324k 4570M|  22M   84k
09-06 19:44:08| 31   1  28  41   0|3089M  123M 4324k 4591M|  21M    0 
09-06 19:44:09| 29   1  24  45   0|3089M  132M 4324k 4583M|  21M  124k
09-06 19:44:10| 29   1  18  52   0|3088M  128M 4324k 4587M|  21M   24k
09-06 19:44:11| 29   1  24  45   0|3087M  122M 4324k 4594M|  21M   92k
09-06 19:44:12| 27   0  38  34   0|3086M  145M 4324k 4572M|  21M  188k
09-06 19:44:13| 27   1  18  54   0|3085M  125M 4324k 4593M|  21M   40k
09-06 19:44:14| 28   1  17  54   0|3084M  134M 4324k 4586M|  22M   32k
09-06 19:44:15| 28   1  18  53   0|3082M  143M 4324k 4578M|  22M  184k
09-06 19:44:16| 28   0  17  54   0|3082M  150M 4324k 4571M|  22M   28k
09-06 19:44:17| 30   1  25  45   0|3080M  131M 4324k 4592M|  21M    0 
09-06 19:44:18| 32   1  19  48   0|3079M  139M 4324k 4586M|  23M  176k
09-06 19:44:19| 31   1   5  62   0|3077M  148M 4324k 4578M|  22M   40k
09-06 19:44:20| 28   0  15  58   0|3077M  127M 4324k 4600M|  21M    0 
09-06 19:44:21| 29   1  19  51   0|3076M  136M 4324k 4592M|  22M  124k
09-06 19:44:22| 27   1  20  52   0|3075M  144M 4324k 4584M|  21M  151k
09-06 19:44:23| 30   1  17  52   0|3073M  124M 4324k 4606M|  21M 4097B
09-06 19:44:24| 28   0  12  58   0|3073M  133M 4324k 4598M|  21M  156k
09-06 19:44:25| 28   1  20  52   0|3072M  142M 4324k 4589M|  21M  156k
09-06 19:44:26| 27   0  16  55   0|3072M  124M 4324k 4608M|  18M 3072B
09-06 19:44:27| 29   1  28  42   0|3071M  132M 4324k 4600M|  21M   44k
09-06 19:44:28| 27   1  24  47   0|3070M  142M 4324k 4592M|  21M  177k
09-06 19:44:29| 30   1  22  49   0|3070M  150M 4324k 4584M|  21M   40k
09-06 19:44:30| 27   0  28  43   0|3068M  130M 4324k 4605M|  21M    0 
09-06 19:44:31| 29   1  15  55   0|3068M  139M 4324k 4597M|  21M  132k
09-06 19:44:32| 31   1  19  48   0|3068M  147M 4324k 4589M|  21M  148k
09-06 19:44:33| 33   1  18  48   0|3067M  125M 4324k 4611M|  23M    0 
